Kodu;Dersin Ad;Name;T;U;L;K;AKTS;Dnem;Grubu;Ön Koşul
ATİ101;Atatürk İlkeleri ve İnkılap Tarihi I;Principles of Ataturk And History of Revolution I;2;0;0;2;2;1;Z;
BİL101;Bilgisayar Mühendisliğine Giriş;Introduction To Computer Engineering;3;0;0;3;5;1;Z;
BİL103;Programlamaya Giriş I;Introduction To Programming I;2;0;2;3;5;1;Z;
BİL123;Ayrık Matematik;Discrete Mathematics;3;1;0;4;5;1;Z;
TBFİZ121;Fizik 1;Physics-I;3;0;2;4;6;1;Z;
TBMAT111;Matematik 1;Mathematics-I;2;2;0;3;5;1;Z;
YD113;Yabancı Dil I;Foreign Language I;1;2;0;2;2;1;Z;
ATİ102;Atatürk İlkeleri ve İnkılap Tarihi II;Principles of Ataturk And History of Revolution II;2;0;0;2;2;2;Z;
BİL104;Programlamaya Giriş II;Introduction To Programming II;2;0;2;3;5;2;Z;
BİL108;Elektrik Devreleri ve Elektronik;Electric Circuits And Electronics;3;0;2;4;5;2;Z;
BİL124;Olasılık ve İstatistiğe Giriş;Introduction to Probability and Statistics;3;0;0;3;5;2;Z;TBFİZ121, TBFİZ115
TBFİZ122;Fizik 2;Physics-II;3;0;2;4;6;2;Z;TBMAT111, TBMAT101
TBMAT112;Matematik 2;Mathematics-II;2;2;0;3;5;2;Z;BİL103
YD114;Yabancı Dil II;Foreign Language II;1;2;0;2;2;2;Z;
BİL235;Java I (TS 1);Java-I (TE 1);2;1;0;3;4;3;BİLSEÇ-1;BİL104
BİL237;İleri Programlama (TS1);Advanced Programming (TE1);2;1;0;3;4;3;BİLSEÇ-1;BİL104
BİLSEÇ-1;TEKNİK SEÇMELİ DERS 1;TECHNICAL ELECTIVE COURSE 1;2;1;0;3;4;3;G;
BİL203;Veri Yapıları;Data Structures;3;0;0;3;5;3;Z;BİL104
BİL215;Sayısal Devreler ve Mantıksal Tasarım;Digital Design And Logic Circuits;3;0;2;4;5;3;Z;
BİL225;Doğrusal Cebir;Linear Algebra;3;1;0;4;4;3;Z;TBMAT112, TBMAT102
BİL227;Diferansiyel Denklemler;Differential Equations;3;1;0;4;4;3;Z;TBMAT112, TBMAT102
İSG101;İş Sağlığı ve Güvenliği I;Occupational Health and Safety I;2;0;0;2;2;3;Z;
TDİ101;Türk Dili I;Turkish Language I;2;0;0;2;2;3;Z;
YDİ213;İleri İngilizce I;Advanced English I;2;2;0;3;4;3;Z;
BİL242;Java II (TS2);Java-II (TE2);2;1;0;3;4;4;BİLSEÇ-2;BİL104
BİL244;Çizge Kuramı (TS2);Graph Theory (TE2);2;1;0;3;4;4;BİLSEÇ-2;BİL104
BİLSEÇ-2;TEKNİK SEÇMELİ DERS 2;TECHNICAL ELECTIVE COURSE 2;2;1;0;3;4;4;G;
BİL204;Algoritmalar;Algorithms;3;0;0;3;6;4;Z;BİL203
BİL212;Nesneye Yönelik Programlama;Object Oriented Programming;2;2;0;3;6;4;Z;BİL104
BİL214;Sayısal Çözümleme;Numerical Analysis;3;1;0;4;6;4;Z;TBMAT112, TBMAT102
İSG102;İş Sağlığı ve Güvenliği II;Occupational Health and Safety II;2;0;0;2;2;4;Z;
TDİ102;Türk Dili II;Turkish Language II;2;0;0;2;2;4;Z;
YDİ214;İleri İngilizce II;Advanced English II;2;2;0;3;4;4;Z;
BİL321;Web Teknolojileri (TS 4);Web Technologies (TE4);3;0;0;3;5;5;BİLSEÇ-4;
BİL323;Bilgisayar Mühendisliğinde Matematiksel Teknikler (TS4);Mathematical Techniques in Computer Engineering (TE4);3;0;0;3;5;5;BİLSEÇ-4;
BİL325;Sayılar Teorisi ve Uygulamaları (TS4);Number Theory And Applicatons (TE4);3;0;0;3;5;5;BİLSEÇ-4;
BİL327;Mobil Programlama (TS 4);Mobile Programming (TE4);3;0;0;3;5;5;BİLSEÇ-4;
BİL329;Karmaşık İşlevler ve Dönüşümler (TS4);Complex Functions And Transformation Techniques (TE4);3;0;0;3;5;5;BİLSEÇ-4;
BİL341;Yöneylem Araştırması (TS4);Operations Research (TE4);3;0;0;3;5;5;BİLSEÇ-4;
BİL343;Sayısal Denetim 1 (TS4);Digital Control-I (TE4);3;0;0;3;5;5;BİLSEÇ-4;
BİL349;Bilimsel Hesaplama (TS4);Operations Research (TE4);3;0;0;3;5;5;BİLSEÇ-4;
BİLSEÇ-4;Teknik Seçmeli Ders 4;TECHNICAL ELECTIVE COURSE 4;3;0;0;3;5;5;G;
SSD1;Sosyal Seçmeli Ders I;Social Elective Course I;2;0;0;2;2;5;G;
BİL305;Bilgisayar Mimarisi;Computer Architecture;3;0;0;3;6;5;Z;BİL215
BİL309;Veritabanı Yönetim Sistemleri;Database Management Systems;3;0;0;3;6;5;Z;BİL104
BİL313;Sistem Programlama;System Programming;2;1;0;3;6;5;Z;BİL104
MUH301;Girişimcilik ve Yenilikçilik;Entrepreneurship and Innovation;2;0;0;2;5;5;Z;
BİL342;Unix Sistem Yönetimi (TS5);Unix System Management (TE5);3;0;0;3;5;6;BİLSEÇ-5;
BİL344;İleri SQL (TS5);Advanced Sql (TE5);3;0;0;3;5;6;BİLSEÇ-5;
BİL346;Web Programlama (TS5);Web Programming (TE5);3;0;0;3;5;6;BİLSEÇ-5;
BİL348;Bilgisayar Aritmetiği (TS5);Computer Arithmetic (TE5);3;0;0;3;5;6;BİLSEÇ-5;
BİL362;Veri İletişimi (TS5);Data Communication (TE5);3;0;0;3;5;6;BİLSEÇ-5;
BİL364;Sayısal Denetim 2 (TS5);Digital Control-II (TE5);3;0;0;3;5;6;BİLSEÇ-5;
BİLSEÇ-5;Teknik Seçmeli Ders 5;TECHNICAL ELECTIVE COURSE 5;3;0;0;3;5;6;G;
BİL304;İşletim Sistemleri;Operating Systems;3;0;0;3;6;6;Z;BİL313
BİL312;Özdevinirler Kuramı;Theory Of Automata;3;0;0;3;5;6;Z;
BİL314;Sinyaller ve Sistemler;Signals And Systems;3;0;0;3;5;6;Z;
BİL318;Mikroişlemciler;Microprocessors;3;0;0;3;5;6;Z;BİL215
BİL322;Mesleki İngilizce;Professional English;3;0;0;3;4;6;Z;
BİL392;Staj *;Summer Practice *;0;0;0;0;10;6;Z;
BİL423;Programlama Dilleri (TS 6);Programming Languages (TE6);3;0;0;3;6;7;BİLSEÇ-6;
BİL431;Bilgi Güvenliği (TS 6);Information Security (TE6);3;0;0;3;6;7;BİLSEÇ-6;
BİL433;Bilgisayar Grafiği (TS 6);Computer Graphics (TS 6);3;0;0;3;6;7;BİLSEÇ-6;
BİL435;Hesapedilebilirlik Kuramı (TS 6);Computability Theory (TE6);3;0;0;3;6;7;BİLSEÇ-6;
BİL437;Kombinatorik (TS 6);Combinatorics (TE6);3;0;0;3;6;7;BİLSEÇ-6;
BİL439;Kriptografiye Giriş (TS 6);Introduction To Cryptography (TE6);3;0;0;3;6;7;BİLSEÇ-6;
BİL447;Oyun Programlama (TS 6);Game Programming;3;0;0;3;6;7;BİLSEÇ-6;
BİL449;Mobil Ağlar (TS 6);Mobile Networks(TE6);3;0;0;3;6;7;BİLSEÇ-6;
BİL451;Bilgisayar Ağlarında Özel Konular (TS 6);Custom Topics in Computer Networks (TE6);3;0;0;3;6;7;BİLSEÇ-6;
BİL457;Finansal Matematik (TS 6);Financal Mathematics (TE6);3;0;0;3;6;7;BİLSEÇ-6;
BİL463;Gömülü Sistemler Giriş (TS 6);Mobile Networks(TE 6);3;0;0;3;6;7;BİLSEÇ-6;
BİL467;Proje Yönetimi (TS 6);Project Management (TE 6);3;0;0;3;6;7;BİLSEÇ-6;
BİL429;Makine Öğrenimine Giriş (TS 7);Introduction To Machine Learning (TE7);3;0;0;3;6;7;BİLSEÇ-7;
BİL441;Yapay Zeka (TS 7);Artificial Intelligence (TE7);3;0;0;3;6;7;BİLSEÇ-7;
BİL443;Robotik (TS 7);Robotics (TE7);3;0;0;3;6;7;BİLSEÇ-7;
BİL445;Bulanık Mantık (TS 7);Fuzzy Logic (TE7);3;0;0;3;6;7;BİLSEÇ-7;
BİL453;Bilgisayar Müh. Özel Konular - I (TS 7);Special Topics in Computer Engineering-I (TE7);3;0;0;3;6;7;BİLSEÇ-7;
BİL455;İnsan Bilgisayar Arayüzü (TS 7);Human - Computer Interface (TE7);3;0;0;3;6;7;BİLSEÇ-7;
BİLSEÇ-6;TEKNİK SEÇMELİ DERS 6;TECHNICAL ELECTIVE COURSE 6;3;0;0;3;6;7;G;
BİLSEÇ-7;TEKNİK SEÇMELİ DERS 7;TECHNICAL ELECTIVE COURSE 7;3;0;0;3;6;7;G;
LABSEÇ-I;SEÇMELİ LAB. I;Technical Elective Lab-I;0;0;2;1;3;7;G;
BİL417;Görüntü İşleme Laboratuvarı (SL 1);Digital Image Processing Lab. (EL1);0;0;2;1;3;7;LABSEÇ-I;
BİL465;Bilgisayar Ağ Yönetimi Laboratuvarı (SL 1);Computer Networks Management Lab. (EL1);0;0;2;1;3;7;LABSEÇ-I;
BİL479;Veri Tabanı Yönetimi Laboratuvarı (SL1);Database Management Systems Lab. (EL1);0;0;2;1;3;7;LABSEÇ-I;
BİL481;Web Programlama Laboratuvarı (SL 1);Web Programming Lab. (EL1);0;0;2;1;3;7;LABSEÇ-I;
BİL483;Bilgisayar Mühendisliğinde Özel Konular Laboratuvarı (SL 1);Special Topics in Computer Engineering-I Lab. (EL1);0;0;2;1;3;7;LABSEÇ-I;
BİL401;Bilgisayar Ağları;Computer Networks;3;0;0;3;5;7;Z;
BİL407;Yazılım Mühendisliği;Software Engineering;3;0;0;3;6;7;Z;
BİL409;Proje Tasarımı;Project Design;2;2;0;3;4;7;Z;
BİL504;Bilgisayarlı Görüye Giriş (TS8);Introduction To Computer Vision (TE8);2;2;0;3;6;8;BİLSEÇ-8;
BİL506;Yazılım Test Süreçleri (TS8);Software Test Processes (TE8);2;2;0;3;6;8;BİLSEÇ-8;
BİL508;Coğrafi Bilgi Sistemleri (TS8);Geographic Information Systems (TE8);2;2;0;3;6;8;BİLSEÇ-8;
BİL510;Programlamada Özel Konular (TS8);Special Topics in Programming (TE8);2;2;0;3;6;8;BİLSEÇ-8;
BİL512;Prolog (TS8);Prolog (TE8);2;2;0;3;6;8;BİLSEÇ-8;
BİL514;Yapay Sinir Ağları (TS8);Artificial Neural Networks (TE8);2;2;0;3;6;8;BİLSEÇ-8;
BİL516;Alan Programlanabilir Kapı Dizileri (TS8);Field Programmable Gate Arrays (TE8);2;2;0;3;6;8;BİLSEÇ-8;
BİL518;Derleyici Tasarımı (TS8);Compiler Design (TE 8);2;2;0;3;6;8;BİLSEÇ-8;
BİL520;Bilgi Teorisi (TS9);Information Theory (TE9);2;2;0;3;6;8;BİLSEÇ-9;
BİL522;Kodlama Teorisi (TS9);Coding Theory (TE9);2;2;0;3;6;8;BİLSEÇ-9;
BİL524;Kritik Altyapılar ve Güvenliği (TS9);Critic infrastructure And Security (TE9);2;2;0;3;6;8;BİLSEÇ-9;
BİL526;Bilgisayar Müh. Özel Konular - II (TS9);Special Topics in Computer Engineering-II (TE9);2;2;0;3;6;8;BİLSEÇ-9;
BİL528;Tıbbi Bilişime Giriş (TS9);Introduction To Medical Informatics (TE9);2;2;0;3;6;8;BİLSEÇ-9;
BİL530;Mühendislik Ekonomisi (TS9);Engineering Economics (TE9);2;2;0;3;6;8;BİLSEÇ-9;
BİL532;Adli Bilişim (TS9);Forensic Informatics (TE9);2;2;0;3;6;8;BİLSEÇ-9;
BİLSEÇ-8;Teknik Seçmeli Ders 8;TECHNICAL ELECTIVE COURSE 8;2;2;0;3;6;8;G;
BİLSEÇ-9;Teknik Seçmeli Ders 9;TECHNICAL ELECTIVE COURSE 9;2;2;0;3;6;8;G;
LABSEÇ-II;Seçmeli Laboratuvar II;Technical Elective Lab-II;0;0;2;1;3;8;G;
SSD2;Sosyal Seçmeli Ders II;Social Elective Course II;2;0;0;2;2;8;G;
BİL416;Bilgisayarlı Görü Laboratuvarı (SL 2);Computer Vision Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BİL418;Yazılım Test Süreçleri Laboratuvarı (SL 2);Software Test Processes Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BİL434;Coğrafi Bilgi Sistemleri Laboratuvarı (SL 2);Geographic Information Systems Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BİL478;Programlamada Özel Konular Lab. (SL2);Special Topics in Programming Lab.(EL2);0;0;0;1;3;8;LABSEÇ-II;
BİL482;Mikrodenetleyici Lab. (SL2);Microcontrollers Lab.(EL2);0;0;2;1;3;8;LABSEÇ-II;
BİL488;Veri Tabanı Laboratuvarı (SL2);Database Management Systems Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BİL490;Yazılım Mühendisliği Laboratuvarı (SL 2);Software Engineering Lab. (EL2);0;0;2;1;3;8;LABSEÇ-II;
BİL494;Web Teknolojileri Laboratuvarı (SL2);Web Technologies Lab.(EL2);0;0;2;1;3;8;LABSEÇ-II;
